sample,hypothesis,niip_to_y_p,y_to_niip_p,verdict,obs
1976-1995 (early accumulation),H1: NIIP -> Equity Valuations,0.6634835727808981,0.7652035774890174,NULL,79
1976-1995 (early accumulation),H2: NIIP -> ManuCo Share Decline,0.33045845644166466,0.012973015673779993,REVERSED,79
1976-1995 (early accumulation),H3: NIIP -> HH Savings Depletion,0.13035993905718185,0.31540785742552746,NULL,79
1976-1995 (early accumulation),H4: NIIP -> Rate Suppression,0.06968592254446761,0.7284241890141212,CONFIRMED,79
1990-2009 (globalization era),H1: NIIP -> Equity Valuations,0.6145649580877537,0.020057112111321745,REVERSED,76
1990-2009 (globalization era),H2: NIIP -> ManuCo Share Decline,0.0010265016527340658,0.2078456978966016,CONFIRMED,76
1990-2009 (globalization era),H3: NIIP -> HH Savings Depletion,3.415001019131013e-05,0.20896063970818368,CONFIRMED,76
1990-2009 (globalization era),H4: NIIP -> Rate Suppression,0.10738988581988437,0.1138930940694223,NULL,76
2006-2025 (financialization era),H1: NIIP -> Equity Valuations,0.002361156713543167,0.06053471267907979,BIDIRECTIONAL,76
2006-2025 (financialization era),H2: NIIP -> ManuCo Share Decline,0.010422001681788235,0.07901139317835273,BIDIRECTIONAL,76
2006-2025 (financialization era),H3: NIIP -> HH Savings Depletion,0.23085404077659175,0.08120118616772147,REVERSED,76
2006-2025 (financialization era),H4: NIIP -> Rate Suppression,0.04842868901129085,0.09896332204404204,BIDIRECTIONAL,76
Full 1976-2025,H1: NIIP -> Equity Valuations,0.0014646944368490972,0.01727765282864247,BIDIRECTIONAL,193
Full 1976-2025,H2: NIIP -> ManuCo Share Decline,0.3295678533424208,0.06884865647668896,REVERSED,193
Full 1976-2025,H3: NIIP -> HH Savings Depletion,0.00584143017413032,0.0022780359080311436,BIDIRECTIONAL,193
Full 1976-2025,H4: NIIP -> Rate Suppression,0.4308290198087701,0.5142700695582285,NULL,193
Post-2016,H1: NIIP -> Equity Valuations,0.0400672930937976,0.12905950638445396,CONFIRMED,36
Post-2016,H2: NIIP -> ManuCo Share Decline,0.7105434899859873,0.25076131548084457,NULL,36
Post-2016,H3: NIIP -> HH Savings Depletion,0.544813940270225,0.2815284715751694,NULL,36
Post-2016,H4: NIIP -> Rate Suppression,0.09639252647137093,0.2830347084366533,CONFIRMED,36
