,rolling_beta
1981-01-01,5.922101174239368e-05
1981-04-01,5.4993282371905216e-05
1981-07-01,5.296159327556282e-05
1981-10-01,5.541871666846246e-05
1982-01-01,5.649184676090096e-05
1982-04-01,5.697066857556778e-05
1982-07-01,5.6174562724054245e-05
1982-10-01,5.532986024961871e-05
1983-01-01,5.045688321239392e-05
1983-04-01,1.3074025788193902e-05
1983-07-01,-3.611984758434866e-05
1983-10-01,-9.195621308447672e-05
1984-01-01,-0.00015002549990408295
1984-04-01,-0.00017344958914602222
1984-07-01,-0.00018292407321010944
1984-10-01,-0.00019255260773144923
1985-01-01,-0.00021137016853022735
1985-04-01,-0.00024258313062682925
1985-07-01,-0.0002795372546806909
1985-10-01,-0.0002744415039987037
1986-01-01,-0.00028576390263870995
1986-04-01,-0.00030927130376546625
1986-07-01,-0.00031447648249815515
1986-10-01,-0.000308890834902854
1987-01-01,-0.00029597551740564017
1987-04-01,-0.00027968764713858706
1987-07-01,-0.00026273138626548275
1987-10-01,-0.00023016370625080602
1988-01-01,-0.00023990457889071841
1988-04-01,-0.00025614742854750073
1988-07-01,-0.0002504692556146621
1988-10-01,-0.00023152266345304043
1989-01-01,-0.000301095224358656
1989-04-01,-0.00020032609368546308
1989-07-01,-0.00015619968131102072
1989-10-01,-0.00012295496523702013
1990-01-01,-0.00010317849011428162
1990-04-01,-3.194903659355013e-05
1990-07-01,4.4280141539541714e-05
1990-10-01,0.00012149341132461186
1991-01-01,0.0002212841440213787
1991-04-01,0.00010445023715973768
1991-07-01,5.017125752863419e-05
1991-10-01,2.7627485616450645e-05
1992-01-01,4.147879742903598e-05
1992-04-01,3.477319053396086e-05
1992-07-01,2.2579230638263836e-05
1992-10-01,1.7748418803446482e-05
1993-01-01,1.9599687010703955e-05
1993-04-01,1.967430175006948e-05
1993-07-01,1.93628366721254e-05
1993-10-01,2.0643151908139576e-05
1994-01-01,2.1680951714656525e-05
1994-04-01,1.917984869495705e-05
1994-07-01,1.5179080426643742e-05
1994-10-01,9.725611373073555e-06
1995-01-01,5.277867008826389e-06
1995-04-01,4.485336258339977e-06
1995-07-01,3.1140695669098645e-06
1995-10-01,1.603760926590587e-06
1996-01-01,-1.503463696990877e-06
1996-04-01,9.90963950827745e-07
1996-07-01,1.7784194305443353e-06
1996-10-01,1.1299200083453081e-06
1997-01-01,-2.2145948791170524e-06
1997-04-01,-6.731078053918021e-06
1997-07-01,-7.492665696160223e-06
1997-10-01,-6.380053386427342e-06
1998-01-01,-1.2272094930263505e-05
1998-04-01,-1.0381937587555033e-05
1998-07-01,-2.089802186168497e-05
1998-10-01,-2.6967742863833484e-05
1999-01-01,-3.726404475304003e-05
1999-04-01,-2.365054038897891e-05
1999-07-01,-1.8873925977093905e-05
1999-10-01,-1.6416399103174534e-05
2000-01-01,-1.6743166368919972e-05
2000-04-01,-1.7682457793211652e-05
2000-07-01,-2.165531967992289e-05
2000-10-01,-2.015022132326373e-05
2001-01-01,-1.353240822882557e-05
2001-04-01,-2.6735934938921303e-05
2001-07-01,-3.48863520821221e-05
2001-10-01,-3.994086494203271e-05
2002-01-01,-4.220719029409738e-05
2002-04-01,-3.79905834556475e-05
2002-07-01,-3.4087764894981664e-05
2002-10-01,-3.278367772981838e-05
2003-01-01,-3.01109222114191e-05
2003-04-01,-3.364895384271586e-05
2003-07-01,-3.2125350672098755e-05
2003-10-01,-3.058769413232514e-05
2004-01-01,-2.72008522595808e-05
2004-04-01,-1.214090386555762e-05
2004-07-01,-2.0454185762499559e-07
2004-10-01,5.305263603658887e-06
2005-01-01,1.2209918192939097e-05
2006-01-01,7.611223382331555e-07
2006-04-01,1.0670076012124068e-05
2006-07-01,6.09829780255799e-06
2006-10-01,5.656733181156241e-06
2007-01-01,4.3297798661136244e-06
2007-04-01,-4.96252659162231e-07
2007-07-01,-4.744200432780709e-06
2007-10-01,-9.91627423341911e-06
2008-01-01,-1.018186872953106e-05
2008-04-01,-1.030382544462747e-05
2008-07-01,-2.2113045579442743e-06
2008-10-01,-1.4136381300642975e-07
2009-01-01,-1.2234507926079626e-06
2009-04-01,-5.016981369028856e-06
2009-07-01,-5.0339755686599936e-06
2009-10-01,-4.929298962540031e-06
2010-01-01,-5.779140597516727e-06
2010-04-01,-7.5066937959873415e-06
2010-07-01,-5.4010690779342615e-06
2010-10-01,-4.765790128350456e-06
2011-01-01,-3.1373943694457634e-06
2011-04-01,-3.3564924895187875e-06
2011-07-01,-5.020682702959395e-06
2011-10-01,-4.941799711423589e-06
2012-01-01,-4.856708250416014e-06
2012-04-01,-5.578077353285763e-06
2012-07-01,-4.7817722850430435e-06
2012-10-01,-4.214003806970815e-06
2013-01-01,-4.4903444053208206e-06
2013-04-01,-4.516475803827612e-06
2013-07-01,-7.5823168700667214e-06
2013-10-01,-1.132224781233847e-05
2014-01-01,-1.009917483365434e-05
2014-04-01,-4.427507024957202e-06
2014-07-01,-1.6947412694699103e-06
2014-10-01,-1.2866743243701902e-06
2015-01-01,-1.460463316920379e-06
2015-04-01,-1.562603216690934e-06
2015-07-01,-2.566007663860069e-06
2015-10-01,-2.8433617947140376e-06
2016-01-01,-2.9621743236272765e-06
2016-04-01,-2.8855680028083038e-06
2016-07-01,-3.0922301956792965e-06
2016-10-01,-3.1986139301320326e-06
2017-01-01,-2.9880941355277484e-06
2017-04-01,-1.7474350238425046e-06
2017-07-01,-1.7042698495136805e-06
2017-10-01,-9.89873989098394e-07
2018-01-01,-7.903810463204817e-07
2018-04-01,-2.163178410225591e-06
2018-07-01,-2.739452598056727e-06
2018-10-01,-2.3057055019039215e-06
2019-01-01,-2.5180366690370007e-06
2019-04-01,-2.4253413280561196e-06
2019-07-01,-1.958043989787901e-06
2019-10-01,-1.7030273873052467e-06
2020-01-01,-5.812239085219263e-07
2020-04-01,-2.0591472817951515e-05
2020-07-01,-2.3096714477604583e-05
2020-10-01,-2.3086766717391374e-05
2021-01-01,-2.28205181951621e-05
2021-04-01,-2.2429023844059483e-05
2021-07-01,-2.3057709101873434e-05
2021-10-01,-1.8557841532864388e-05
2022-01-01,-1.701717446670401e-05
2022-04-01,-1.1094731454347935e-05
2022-07-01,-1.1452936882386129e-05
2022-10-01,-1.0687326813317737e-05
2023-01-01,-1.0782935371225976e-05
2023-04-01,-9.974360516680478e-06
2023-07-01,-9.950431263681286e-06
2023-10-01,-8.829186081758178e-06
2024-01-01,-8.357271073358274e-06
2024-04-01,-8.203099868287638e-06
2024-07-01,-8.06250493767272e-06
2024-10-01,-7.041669750135624e-06
2025-01-01,-6.317678017704238e-06
