panel,hypothesis,x_to_y_p,y_to_x_p,verdict,obs
Japan 1976-1995,H1J: CA surplus -> consumption suppression,0.3703577755516507,0.4850862856568673,NULL,19
Japan 1976-1995,H2J: FX undervaluation -> CA surplus,0.00013725964839817303,0.2567983363656757,CONFIRMED,19
Japan 1976-1995,H3J: FX appreciation -> export decline,0.004750189824529277,0.3151887696161409,CONFIRMED,19
Japan 1976-1995,H4J: Export decline -> consumption reversal,0.014233942084844626,0.21071727519184286,CONFIRMED,19
Japan 1976-1995,H5J: CA surplus -> savings accumulation,0.6154318170266306,0.2359023823841507,NULL,19
Japan 1976-1995,H6J: Wage growth -> consumption,0.259115205336982,0.11106548438663269,NULL,19
Japan 1976-1995 (demo),H7J: WAP growth -> consumption rising,0.012640926861104214,0.49569436080530205,CONFIRMED,18
Japan 1976-1995 (demo),H8J: Dependency ratio -> savings rate,0.3194535816052837,0.13848566437778634,NULL,19
Japan 1976-1995 (demo),H9J: WAP growth -> CA surplus,0.8129847786748094,0.5659150859239634,NULL,18
PRC 1997-2024,H1C: CA surplus -> consumption suppression,0.7753620492483247,0.03971894017556249,REVERSED,27
PRC 1997-2024,H2C: FX management -> CA surplus,0.16034624236089043,0.14541583822216866,NULL,27
PRC 1997-2024,H3C: Export growth -> consumption,0.9164491333788768,0.8203308518217044,NULL,27
PRC 1997-2024,H4C: FX -> exports,0.9298305585303053,0.2763431629770605,NULL,27
PRC 1997-2024,H5C: Reserve accumulation -> consumption suppression,0.6253207347603456,0.7177312208718898,NULL,27
PRC 1997-2024,H6C: Routing gap -> consumption suppression,0.6852846046585197,0.8514534893654486,NULL,27
PRC 1997-2024,H7C: CA surplus -> savings accumulation,0.01962036290433534,0.5462363970352317,CONFIRMED,27
PRC 1997-2024 (demo),H8C: WAP decline -> consumption share rising,0.003684747421808481,0.328644051425487,CONFIRMED,27
PRC 1997-2024 (demo),H9C: Dependency ratio -> savings rate falling,0.43279589120231077,0.7739102471836006,NULL,27
PRC 1997-2024 (demo),H10C: WAP decline -> CA surplus compression,0.3213738425187971,0.36428020297631813,NULL,27
PRC 1997-2024 (demo),H11C: Demographic forcing -> fiscal rebalancing vs productive rebalancing,0.3502968070421243,0.37508345777149715,NULL,27
