partner_iso3,year,hs,us_imports_usd
CHN,2017,8471,51060671047
CHN,2018,8471,52434760978
CHN,2019,8471,45565993861
CHN,2020,8471,53799529661
CHN,2021,8471,62540218713
CHN,2022,8471,55773176577
CHN,2023,8471,39640518148
VNM,2018,8471,853618759
VNM,2019,8471,1297101334
VNM,2020,8471,2121343949
VNM,2021,8471,3121865364
VNM,2022,8471,3680581432
VNM,2023,8471,9486641616
VNM,2024,8471,15974268802
MEX,2018,8471,26368240492
MEX,2019,8471,27237814694
MEX,2020,8471,26407912362
MEX,2021,8471,28402249336
MEX,2022,8471,36752704912
MEX,2023,8471,27728330842
MEX,2024,8471,48341520404
TWN,2017,8471,2633746120
TWN,2018,8471,2919372181
TWN,2019,8471,6113725694
TWN,2020,8471,8841383600
TWN,2021,8471,9022527716
TWN,2022,8471,11324802655
TWN,2023,8471,14387308328
TWN,2024,8471,26218487960
THA,2018,8471,4617902081
THA,2019,8471,4502353337
THA,2020,8471,6117882226
THA,2021,8471,8068812925
THA,2022,8471,8623856551
THA,2023,8471,5972995910
THA,2024,8471,7015554364
MYS,2018,8471,1092097796
MYS,2020,8471,1119562640
MYS,2021,8471,1223733644
MYS,2022,8471,1555420586
MYS,2023,8471,1070300528
MYS,2024,8471,796664456
