reporter_iso3,year,us_imports_hs8485_usd
VNM,2017,3265772517.0
VNM,2017,11062704042.0
VNM,2018,2873235809.0
VNM,2018,11134042883.0
VNM,2019,3777939920.0
VNM,2019,21745286630.0
VNM,2020,6994230923.0
VNM,2020,27553088893.0
VNM,2022,13212067777.0
VNM,2022,46761173269.0
VNM,2023,17510128564.0
VNM,2023,41783841944.0
VNM,2024,29210578396.0
VNM,2024,42568159769.0
MEX,2017,54117999566.0
MEX,2017,61644923621.0
MEX,2019,66351219233.0
MEX,2019,63957875759.0
MEX,2020,62517759205.0
MEX,2020,59607000975.0
MEX,2021,71481861590.0
MEX,2021,70644946079.0
MEX,2023,81617764616.0
MEX,2023,85555067045.0
MEX,2024,105830208842.0
MEX,2024,87556261521.0
THA,2018,8122720947.0
THA,2018,7999181535.0
THA,2020,10411750311.0
THA,2020,10147163618.0
THA,2021,13654590898.0
THA,2021,12351170053.0
THA,2022,15843083752.0
THA,2022,17231341756.0
THA,2023,13447468659.0
THA,2023,20762987895.0
THA,2024,15728654301.0
THA,2024,23055965218.0
MYS,2017,3903466485.0
MYS,2017,24720482209.0
MYS,2018,4043403327.0
MYS,2018,25527345187.0
MYS,2019,4067166665.0
MYS,2019,26181731834.0
MYS,2020,5521961637.0
MYS,2020,26356245589.0
MYS,2021,7287969164.0
MYS,2021,32086169884.0
MYS,2022,7685822514.0
MYS,2022,31089062477.0
MYS,2023,6422153767.0
MYS,2023,26325780413.0
TWN,2017,8399022543.0
TWN,2017,14296063589.0
TWN,2018,10040932461.0
TWN,2018,14399626490.0
TWN,2020,18862477576.0
TWN,2020,18941668194.0
TWN,2021,24229121297.0
TWN,2021,23962820238.0
TWN,2023,34517269820.0
TWN,2023,27004248873.0
TWN,2024,57905394190.0
TWN,2024,32453880077.0
