reporter_iso3,year,us_imports_hs8485_usd,us_imports_hs8485_bn,imports_from_china_bn,value_add_ratio,classification
MEX,2017,115762923187.0,115.762923187,,,NO DATA
MEX,2019,130309094992.0,130.309094992,201.56911886,0.646,ROUTING
MEX,2020,122124760180.0,122.12476018,87.938772682,1.389,SUBSTANTIAL TRANSFORMATION
MEX,2021,142126807669.0,142.126807669,111.715105702,1.272,LIGHT ASSEMBLY
MEX,2023,167172831661.0,167.172831661,123.061446458,1.358,SUBSTANTIAL TRANSFORMATION
MEX,2024,193386470363.0,193.386470363,136.260256026,1.419,SUBSTANTIAL TRANSFORMATION
MYS,2017,28623948694.0,28.623948694,37.813284715419,0.757,ROUTING
MYS,2018,29570748514.0,29.570748514,43.278716123567,0.683,ROUTING
MYS,2019,30248898499.0,30.248898499,41.307108325975,0.732,ROUTING
MYS,2020,31878207226.0,31.878207226,41.729395233830004,0.764,ROUTING
MYS,2021,39374139048.0,39.374139048,55.951490060703996,0.704,ROUTING
MYS,2022,38774884991.0,38.774884991,64.253227158127,0.603,ROUTING
MYS,2023,32747934180.0,32.74793418,56.72415539947799,0.577,ROUTING
THA,2018,16121902482.0,16.121902482,46.90001448315999,0.344,ROUTING
THA,2020,20558913929.0,20.558913929,99.219338025694,0.207,ROUTING
THA,2021,26005760951.0,26.005760951,118.35304665348801,0.22,ROUTING
THA,2022,33074425508.0,33.074425508,130.228260329509,0.254,ROUTING
THA,2023,34210456554.0,34.210456554,126.005720861267,0.271,ROUTING
THA,2024,38784619519.0,38.784619519,149.91734333856,0.259,ROUTING
TWN,2017,22695086132.0,22.695086132,29.907868306030004,0.759,ROUTING
TWN,2018,24440558951.0,24.440558951,32.77208464246,0.746,ROUTING
TWN,2020,37804145770.0,37.80414577,42.876459896015,0.882,ROUTING
TWN,2021,48191941535.0,48.191941535,55.172641560727996,0.873,ROUTING
TWN,2023,61521518693.0,61.521518693,46.784284663525,1.315,LIGHT ASSEMBLY
TWN,2024,90359274267.0,90.359274267,51.950350843778,1.739,SUBSTANTIAL TRANSFORMATION
VNM,2017,14328476559.0,14.328476559,27.643967025099997,0.518,ROUTING
VNM,2018,14007278692.0,14.007278692,29.38831657599,0.477,ROUTING
VNM,2019,25523226550.0,25.52322655,36.128808574660006,0.706,ROUTING
VNM,2020,34547319816.0,34.547319816,44.992005316997,0.768,ROUTING
VNM,2022,59973241046.0,59.973241046,116.520216560966,0.515,ROUTING
VNM,2023,59293970508.0,59.293970508,109.352896374312,0.542,ROUTING
VNM,2024,71778738165.0,71.778738165,,,NO DATA
